Entity,TOPSIS_Score,TOPSIS_Rank,TOPSIS_Distance_Positive,TOPSIS_Distance_Negative,Dynamic_TOPSIS_Score,Fuzzy_TOPSIS_Score,VIKOR_Q,VIKOR_S,VIKOR_R,VIKOR_Rank
P14,0.813066,1,0.005647,0.024561,0.759451,0.835427,0.000000,0.159124,0.015965,1
P13,0.784390,2,0.006763,0.024605,0.801084,0.821296,0.132111,0.178275,0.024814,9
P06,0.782100,3,0.006746,0.024214,0.779355,0.814507,0.087075,0.185318,0.021002,2
P04,0.771570,4,0.006969,0.023538,0.732241,0.791230,0.122030,0.207846,0.022319,6
P08,0.767600,5,0.007144,0.023594,0.765115,0.787254,0.116670,0.213634,0.021575,5
P07,0.765185,6,0.007158,0.023326,0.765306,0.789077,0.131759,0.207682,0.023063,8
P03,0.764583,7,0.007303,0.023718,0.764097,0.799537,0.162042,0.196279,0.026017,11
P05,0.764209,8,0.007175,0.023254,0.752043,0.780041,0.123485,0.214739,0.022025,7
P01,0.763949,9,0.007214,0.023347,0.804770,0.784288,0.111242,0.211865,0.021269,4
P10,0.762931,10,0.007506,0.024154,0.741940,0.810830,0.182577,0.187868,0.028061,12
P15,0.742521,11,0.007839,0.022607,0.733077,0.755369,0.156004,0.243686,0.022782,10
P12,0.733688,12,0.008058,0.022200,0.695126,0.752426,0.111031,0.241540,0.019513,3
P09,0.719536,13,0.008468,0.021725,0.678408,0.730583,0.187632,0.268210,0.023731,14
P02,0.716789,14,0.008812,0.022302,0.671991,0.746125,0.182614,0.251721,0.024319,13
P11,0.712036,15,0.008991,0.022231,0.709536,0.745433,0.307746,0.253429,0.033664,15
P16,0.688898,16,0.009937,0.022003,0.701489,0.732551,0.363332,0.263638,0.037261,16
P27,0.569680,17,0.013201,0.017476,0.637932,0.571852,0.480091,0.429725,0.036335,18
P20,0.539780,18,0.013872,0.016270,0.605759,0.543566,0.497126,0.458964,0.035906,19
P26,0.526712,19,0.014272,0.015883,0.586015,0.527939,0.525668,0.473279,0.037221,20
P21,0.513153,20,0.014483,0.015265,0.598498,0.515898,0.468220,0.482827,0.032325,17
P38,0.503104,21,0.015120,0.015309,0.607729,0.509744,0.540212,0.487562,0.037481,22
P25,0.500579,22,0.015388,0.015424,0.530478,0.506680,0.563379,0.491721,0.038986,24
P36,0.500441,23,0.015578,0.015605,0.579969,0.503928,0.675942,0.497735,0.047129,44
P40,0.497875,24,0.015308,0.015179,0.570175,0.500034,0.530078,0.498589,0.036070,21
P17,0.495354,25,0.015470,0.015185,0.582961,0.499610,0.611184,0.502584,0.041957,30
P37,0.492353,26,0.015411,0.014947,0.599264,0.486875,0.586864,0.519245,0.039145,26
P41,0.484313,27,0.015955,0.014984,0.555404,0.483292,0.655031,0.517075,0.044417,38
P29,0.483947,28,0.015707,0.014730,0.490436,0.484575,0.618686,0.513338,0.041893,31
P48,0.480898,29,0.015845,0.014679,0.526888,0.481128,0.701702,0.517741,0.047901,46
P23,0.476419,30,0.016101,0.014651,0.453883,0.473380,0.607788,0.530526,0.040062,29
P28,0.474936,31,0.016107,0.014569,0.557423,0.470242,0.630447,0.528411,0.041897,34
P24,0.471566,32,0.016467,0.014695,0.587828,0.477456,0.760535,0.520745,0.052165,48
P18,0.465667,33,0.016152,0.014076,0.430036,0.470946,0.561653,0.524690,0.036922,23
P22,0.461218,34,0.016404,0.014042,0.561936,0.458472,0.581257,0.543326,0.037309,25
P30,0.460835,35,0.016460,0.014069,0.579793,0.446313,0.670332,0.560489,0.043026,42
P44,0.460540,36,0.016377,0.013981,0.566476,0.457343,0.592668,0.544408,0.038107,27
P46,0.458853,37,0.016431,0.013932,0.546852,0.457664,0.653985,0.546017,0.042641,37
P43,0.456895,38,0.016762,0.014101,0.579903,0.459473,0.671773,0.540441,0.044311,43
P47,0.451573,39,0.016890,0.013907,0.532415,0.447010,0.623164,0.554223,0.039833,33
P31,0.447891,40,0.016838,0.013660,0.531498,0.444607,0.650362,0.553253,0.041943,36
P42,0.447188,41,0.016839,0.013622,0.541127,0.444104,0.682793,0.557583,0.044137,45
P19,0.445050,42,0.017035,0.013661,0.554718,0.433649,0.655999,0.573942,0.041155,39
P39,0.439847,43,0.017286,0.013573,0.551911,0.445677,0.666661,0.550103,0.043358,41
P35,0.439838,44,0.016696,0.013110,0.506611,0.435061,0.600554,0.565770,0.037450,28
P32,0.435492,45,0.016912,0.013047,0.497585,0.433770,0.637828,0.567201,0.040179,35
P45,0.434195,46,0.017246,0.013235,0.491169,0.436527,0.620188,0.561339,0.039191,32
P33,0.428998,47,0.017696,0.013295,0.286920,0.428563,0.720654,0.568046,0.046381,47
P34,0.427765,48,0.017283,0.012920,0.472851,0.431036,0.661491,0.566555,0.042003,40
P51,0.317864,49,0.021076,0.009821,0.414119,0.291935,0.920406,0.714580,0.052866,56
P62,0.307494,50,0.021547,0.009568,0.462602,0.275023,0.886996,0.731132,0.049374,50
P58,0.306020,51,0.021371,0.009424,0.386718,0.284856,0.913303,0.717526,0.052157,55
P60,0.296887,52,0.022197,0.009373,0.413255,0.262073,0.928814,0.744271,0.051760,59
P55,0.295866,53,0.021720,0.009126,0.291908,0.268157,0.871525,0.737109,0.047855,49
P59,0.293450,54,0.022006,0.009140,0.405063,0.263077,0.897483,0.742315,0.049509,52
P63,0.285382,55,0.022133,0.008839,0.438089,0.250888,0.921249,0.755784,0.050513,57
P50,0.284642,56,0.022150,0.008813,0.437105,0.259929,0.892741,0.741393,0.049206,51
P53,0.271573,57,0.022187,0.008272,0.366869,0.248459,0.899966,0.757080,0.048831,53
P56,0.270342,58,0.022314,0.008268,0.371761,0.246826,0.901336,0.759858,0.048772,54
P57,0.262833,59,0.022905,0.008167,0.406955,0.224644,0.945477,0.787047,0.050509,61
P54,0.262540,60,0.022929,0.008163,0.323122,0.222569,0.986428,0.785253,0.053705,64
P52,0.251954,61,0.022902,0.007714,0.315512,0.226336,0.939578,0.779377,0.050513,60
P64,0.238393,62,0.023046,0.007214,0.344374,0.222918,0.925669,0.776327,0.049643,58
P49,0.232965,63,0.023528,0.007146,0.271571,0.214578,0.959316,0.784573,0.051699,63
P61,0.232099,64,0.024112,0.007288,0.287952,0.197715,0.956835,0.802723,0.050447,62
