Rank,Entity,Predicted_TOPSIS_Score,Predicted_TOPSIS_Rank,Predicted_VIKOR_Q,Predicted_VIKOR_S,Predicted_VIKOR_R,Predicted_VIKOR_Rank,Prediction_Year
1,P14,0.840194,1,0.000000,0.137513,0.014481,1,2025
2,P13,0.802693,2,0.150376,0.157061,0.025157,10,2025
3,P06,0.796027,3,0.098505,0.174125,0.020110,2,2025
4,P05,0.789253,4,0.114362,0.182152,0.020894,4,2025
5,P08,0.789196,5,0.113655,0.190985,0.020332,3,2025
6,P04,0.781923,6,0.128839,0.198921,0.021068,6,2025
7,P03,0.781083,7,0.151296,0.183386,0.023720,11,2025
8,P01,0.777648,8,0.132874,0.198078,0.021433,7,2025
9,P10,0.776572,9,0.189870,0.180689,0.026901,12,2025
10,P07,0.772503,10,0.125241,0.206946,0.020326,5,2025
11,P15,0.755816,11,0.147984,0.225200,0.021063,9,2025
12,P12,0.746206,12,0.133782,0.221007,0.020190,8,2025
13,P09,0.743130,13,0.196402,0.247500,0.023583,13,2025
14,P11,0.732530,14,0.289405,0.235644,0.031559,15,2025
15,P02,0.721459,15,0.220869,0.246489,0.025561,14,2025
16,P16,0.698175,16,0.378176,0.242411,0.038135,16,2025
17,P27,0.582923,17,0.466897,0.413864,0.035267,17,2025
18,P20,0.545075,18,0.513858,0.454233,0.036636,19,2025
19,P26,0.531028,19,0.519854,0.464884,0.036496,20,2025
20,P21,0.517166,20,0.491365,0.476663,0.033586,18,2025
21,P37,0.513762,21,0.611972,0.500883,0.041659,30,2025
22,P38,0.506135,22,0.533344,0.485717,0.036360,21,2025
23,P25,0.504540,23,0.598506,0.492325,0.041093,28,2025
24,P36,0.503003,24,0.673387,0.493192,0.046918,43,2025
25,P40,0.499653,25,0.538136,0.501045,0.035857,22,2025
26,P17,0.494978,26,0.590619,0.506776,0.039646,27,2025
27,P23,0.488924,27,0.568241,0.506295,0.037918,24,2025
28,P41,0.486215,28,0.613474,0.507951,0.041372,31,2025
29,P24,0.481951,29,0.756583,0.515508,0.052165,48,2025
30,P48,0.481581,30,0.646013,0.515405,0.043497,39,2025
31,P28,0.481182,31,0.619243,0.514978,0.041421,34,2025
32,P29,0.480925,32,0.624059,0.516940,0.041687,35,2025
33,P47,0.471755,33,0.608903,0.533921,0.039524,29,2025
34,P30,0.468198,34,0.661215,0.551653,0.042612,42,2025
35,P18,0.464428,35,0.579955,0.528677,0.037554,25,2025
36,P43,0.463941,36,0.614445,0.533125,0.040005,33,2025
37,P22,0.459750,37,0.627796,0.543584,0.040453,37,2025
38,P46,0.457831,38,0.659924,0.548748,0.042677,41,2025
39,P44,0.457678,39,0.584100,0.548658,0.036734,26,2025
40,P42,0.453102,40,0.685711,0.553735,0.044414,46,2025
41,P31,0.451284,41,0.635159,0.545131,0.040941,38,2025
42,P19,0.445164,42,0.676192,0.574111,0.042499,44,2025
43,P35,0.440609,43,0.562595,0.562415,0.034258,23,2025
44,P32,0.440471,44,0.627774,0.562728,0.039353,36,2025
45,P39,0.440354,45,0.649374,0.546466,0.041980,40,2025
46,P45,0.438187,46,0.613489,0.551054,0.038902,32,2025
47,P34,0.434165,47,0.677341,0.566674,0.043016,45,2025
48,P33,0.424257,48,0.690163,0.571787,0.043728,47,2025
49,P60,0.313983,49,0.892135,0.730892,0.050452,53,2025
50,P51,0.311993,50,0.924571,0.718534,0.053705,59,2025
51,P62,0.309734,51,0.878582,0.728987,0.049498,51,2025
52,P59,0.298648,52,0.869686,0.736050,0.048395,50,2025
53,P58,0.297316,53,0.908710,0.723832,0.052157,58,2025
54,P55,0.292084,54,0.864516,0.739106,0.047815,49,2025
55,P50,0.288259,55,0.890193,0.741428,0.049696,52,2025
56,P63,0.280165,56,0.904616,0.755387,0.050027,56,2025
57,P53,0.270803,57,0.894298,0.755659,0.049202,54,2025
58,P57,0.263912,58,0.932758,0.785492,0.050509,60,2025
59,P56,0.262308,59,0.899299,0.769207,0.048818,55,2025
60,P54,0.260190,60,0.971564,0.791510,0.053208,63,2025
61,P52,0.236777,61,0.937775,0.792281,0.050513,61,2025
62,P64,0.235504,62,0.907683,0.777738,0.048986,57,2025
63,P49,0.228381,63,0.949405,0.787521,0.051699,62,2025
64,P61,0.208767,64,0.975199,0.821757,0.051760,64,2025
